,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Olfml2a,284,155,166,116,165,70,134,145
Rpl35,1114,707,744,393,720,425,884,615
Arpc5l,932,481,521,261,724,365,551,422
Golga1,649,416,320,197,421,233,438,318
Ppp6c,4834,3237,2883,1586,3600,2022,3793,2644
Lrp1b,2,0,0,1,2,1,1,3
Kynu,11,1,1,0,0,2,5,1
Arhgap15,778,464,289,86,292,164,306,341
Gtdc1,481,305,313,109,296,150,262,246
Zeb2,607,369,224,150,414,183,286,311
Acvr2a,123,86,64,36,97,51,61,71
Orc4,695,497,497,206,583,347,537,439
Epc2,491,303,278,139,343,196,332,183
Kif5c,10,14,5,4,4,3,5,1
Lypd6b,5,8,7,1,6,4,7,22
Ns5atp4,70,52,43,21,53,25,30,34
Mmadhc,4260,2683,2577,1343,2859,1740,3023,2096
LOC499796,0,0,0,0,0,0,1,0
Rnd3,585,384,313,219,530,279,422,296
Tas2r134,0,0,0,0,0,0,0,0
Rbm43,102,46,53,31,47,42,55,34
Nmi,417,209,143,127,138,122,256,125
Tnfaip6,160,126,67,69,101,77,128,96
Arl5a,76,56,45,32,86,31,62,45
Cacnb4,79,37,17,25,26,48,41,23
Stam2,332,228,181,89,242,113,184,180
Prpf40a,3040,1958,1843,996,2030,1262,2094,1459
Arl6ip6,1009,645,519,412,746,406,658,493
Rprm,14,3,6,6,5,4,6,5
Galnt13,41,22,53,25,41,44,47,28
Kcnj3,14,23,23,20,23,15,28,21
Nr4a2,19,12,9,12,19,4,11,17
Gpd2,1427,841,827,387,1067,399,840,631
Galnt5,650,544,486,350,598,290,501,329
Ermn,0,0,0,0,0,0,0,0
Cytip,200,146,86,60,102,76,102,124
Acvr1c,26,17,7,2,10,37,11,12
Acvr1,272,200,142,94,202,84,183,170
Gapdh-ps1,18,12,8,3,7,6,12,15
Upp2,0,0,0,0,0,0,0,0
Ccdc148,0,0,1,1,0,0,0,2
Dapl1,0,0,0,0,0,0,0,0
Tanc1,139,70,58,40,68,34,68,41
Wdsub1,233,152,165,100,201,123,179,132
Baz2b,1245,826,667,374,883,447,739,557
LOC100361645,19,17,14,7,20,6,24,5
7-Mar,1563,1063,842,488,1198,648,994,791
Cd302,1746,767,849,409,908,810,1145,813
Pla2r1,34,23,17,11,18,9,13,20
Itgb6,3815,2252,1683,905,2210,971,1759,1407
Rbms1,1293,770,706,390,860,432,751,541
Psmd10,180,113,97,55,143,72,156,102
Vsig1,1,0,1,0,0,0,0,0
Mid2,87,42,49,40,78,26,64,35
Tsc22d3,14946,6973,6878,3847,5930,2384,5841,5937
Prps1,2993,1920,1784,1080,1932,1176,2101,1473
Pih1d3,0,0,0,0,0,0,0,0
Rbm41,701,438,441,201,469,302,471,311
Cldn2,30,24,11,8,16,6,9,18
Rnf128,65,13,23,13,38,11,22,24
Tank,2837,1603,1425,679,1775,943,1542,1017
Psmd14,4247,2896,2582,1494,3266,1817,3295,2267
Tbr1,0,0,2,0,0,0,0,0
Slc4a10,3,0,0,0,1,1,0,0
Dpp4,469,407,363,302,205,271,640,206
Gcg,1,0,0,0,0,0,0,0
Fap,271,198,148,131,276,174,211,212
Ifih1,349,217,130,92,168,107,189,146
Gca,1223,816,757,353,565,414,816,621
Kcnh7,0,0,0,0,0,0,0,0
Fign,66,49,14,6,32,14,16,23
Grb14,3748,2601,3032,1922,3487,832,3836,2197
Scn3a,113,75,62,33,81,44,65,48
Scn2a1,17,16,14,14,11,10,13,15
Csrnp3,1,2,0,0,2,0,1,0
Galnt3,0,0,0,0,0,0,0,0
Ttc21b,129,62,63,53,88,37,70,52
Scn1a,458,317,264,168,343,210,406,216
Scn9a,0,1,0,1,1,0,0,0
Scn7a,211,126,115,62,185,78,115,80
Xirp2,105107,85134,53053,28212,72421,32258,42708,53710
B3galt1,183,129,150,80,166,125,192,197
Stk39,164,107,173,73,136,77,150,77
Nostrin,32,12,17,12,22,2,16,21
Spc25,19,0,1,2,4,4,5,5
Abcb11,0,2,1,0,0,2,0,3
Dhrs9,415,239,180,202,104,276,303,158
Lrp2,33,41,22,8,14,13,36,15
Bbs5,165,113,113,73,134,87,174,93
Klhl41,36390,35504,22586,14761,29443,14216,24001,18864
Fastkd1,1065,584,564,250,650,315,599,436
Ppig,2631,1530,1557,837,1728,990,1733,1090
Ccdc173,0,2,5,1,1,0,3,1
Phospho2,2314,1353,1207,587,1386,710,1297,1073
Klhl23,2008,1150,1107,725,1504,656,1155,989
Ssb,2643,1598,1682,917,1678,1011,2015,1203
Mettl5,1696,874,893,512,1143,663,1348,872
Myo3b,90,54,62,26,55,35,55,33
Sp5,0,0,1,0,2,0,0,0
Erich2,3,1,1,1,3,1,1,6
Gad1,6,2,3,1,6,1,0,2
Gorasp2,2424,1253,1207,744,1532,652,1198,1005
Tlk1,1182,788,682,371,771,494,792,513
Dcaf17,105,60,65,40,75,40,65,48
Cybrd1,432,227,165,175,119,135,275,129
Dync1i2,2819,1911,1642,947,1982,1124,1929,1256
Hat1,2045,1310,1377,700,1417,914,1508,1033
Metap1d,836,572,439,244,676,320,484,458
Dlx1,0,0,0,0,1,0,1,0
Dlx2,0,0,0,0,0,0,0,0
Itga6,665,400,413,200,525,361,371,257
Pdk1,965,301,525,355,868,243,523,512
Cdca7,52,21,7,9,18,16,13,15
Ola1,5053,2918,2472,1394,3027,1664,2822,2263
Sp9,0,0,0,0,1,0,0,0
Cir1,400,255,277,141,286,174,304,224
Scrn3,692,461,412,207,467,236,404,304
Gpr155,2988,2143,1442,823,2091,1004,1352,1133
Wipf1,446,219,209,124,288,202,233,178
Chrna1,621,390,498,229,479,379,603,386
Chn1,207,152,126,66,178,93,155,98
Atf2,667,439,389,212,468,281,486,369
Atp5g3,34444,21974,22045,11612,26827,14966,27496,18880
Lnp,1297,1148,763,562,940,373,1141,861
Hoxd13,0,0,0,0,0,0,0,0
Hoxd12,0,0,0,0,0,0,0,0
Hoxd10,4,3,3,2,2,1,1,2
Hoxd9,11,6,2,8,6,3,4,2
Hoxd4,3,0,5,0,2,3,0,0
Mir10b,0,0,0,0,0,0,0,0
Hoxd3,2,0,0,0,0,0,0,0
Hoxd1,1,0,0,0,0,0,0,0
Mtx2,3076,1725,1722,1065,2340,1226,2147,1480
Hnrnpa3,3778,2286,2212,1321,2556,1527,2472,1707
Nfe2l2,2900,2177,1973,1153,2325,1433,2302,1624
Agps,114,52,68,31,80,52,78,36
Ttc30b,337,266,267,159,339,180,305,272
Ttc30a1,29,19,21,5,29,17,15,11
LOC100362431,54,41,27,14,41,22,48,19
Pde11a,10,6,9,6,0,0,8,1
Cyct,0,0,0,0,0,0,0,0
Anp32a,609,419,356,205,400,217,389,280
Rbm45,446,224,223,140,285,136,278,194
Osbpl6,1680,1197,1260,679,1162,538,1151,962
Prkra,539,318,308,181,389,210,323,214
Fkbp7,182,106,113,62,105,82,127,91
Plekha3,201,105,84,64,110,100,141,71
Sestd1,339,187,159,93,237,135,186,115
Zfp385b,360,117,198,81,152,98,122,63
RGD1564319,3,1,2,2,4,2,6,1
Ube2e3,792,506,469,290,616,316,594,458
Itga4,793,394,216,258,436,225,606,341
Neurod1,0,0,0,0,0,0,0,0
Ssfa2,494,330,258,130,404,196,322,234
Ppp1r1c,287,65,252,173,418,122,312,260
Pde1a,85,64,49,21,73,56,38,49
Dnajc10,3701,2360,1850,1052,2540,1226,2067,1623
Frzb,21,10,8,8,13,7,8,7
Nckap1,3196,1962,1781,932,2163,1360,2194,1410
Dusp19,156,105,75,51,109,53,141,69
Nup35,727,414,354,208,448,256,519,398
Zc3h15,1669,860,905,512,993,621,979,742
Zswim2,0,0,1,0,0,0,0,0
Calcrl,283,245,161,99,254,170,294,230
Tfpi,926,593,496,260,649,341,678,426
Ctnnd1,1184,808,549,362,665,365,655,523
RGD1563348,503,306,267,181,309,196,380,253
Tmx2,2904,1554,1784,882,1952,1078,1637,1100
Med19,993,591,560,302,518,350,591,396
Zdhhc5,1306,809,678,346,774,345,605,550
Ypel4,42,11,27,9,19,12,23,10
Clp1,386,277,239,129,284,139,304,168
Mir130a,0,0,0,0,0,0,0,0
Mir3590,0,0,0,0,0,0,0,0
Serping1,3872,1778,1666,1142,1766,2069,2478,1409
Ube2l6,128,86,71,33,64,49,79,77
Smtnl1,21252,15958,12988,9667,14436,5547,11831,10464
Timm10,1065,595,562,329,687,333,709,423
Slc43a1,731,393,459,208,494,258,283,262
Rtn4rl2,0,0,1,0,0,0,1,0
Slc43a3,799,312,277,107,365,165,312,249
Prg2,0,0,1,0,0,0,1,0
Prg3,0,0,0,0,0,0,0,0
P2rx3,15,8,7,4,8,4,6,5
Ssrp1,2090,1420,1174,686,1463,717,1124,983
Aplnr,514,382,384,155,523,267,274,215
Lrrc55,5,3,5,2,1,2,0,2
Olr436,0,0,0,0,0,0,0,0
Olr439,0,0,0,0,0,0,0,0
Olr440,0,0,0,0,0,0,0,0
Olr441,0,0,0,0,0,0,0,0
Olr442,1,0,0,0,0,0,0,0
Olr443,0,0,0,0,0,0,0,0
Olr444,0,0,0,0,0,0,0,0
Olr445,0,0,0,0,0,0,0,0
Olr446,0,0,0,0,0,0,0,0
Olr447,0,0,0,0,0,0,0,0
Olr448,0,0,0,0,0,0,0,0
Olr450,0,0,0,0,0,0,0,0
Olr453,0,0,0,0,0,0,0,0
Olr454,0,0,0,0,0,0,0,0
Olr455,0,0,0,0,0,0,0,0
Olr456,0,0,0,0,0,0,0,0
Olr458,0,0,0,0,0,0,0,0
Olr459,0,0,0,0,0,0,0,0
Olr461,0,0,0,0,0,0,0,0
Olr462,0,0,0,0,0,0,0,0
Olr463,0,0,0,0,0,0,0,0
Olr464,0,0,0,0,0,0,0,0
Olr465,0,0,0,0,0,0,0,0
Olr466,0,0,0,0,0,0,0,0
Olr468,0,0,0,0,0,0,0,0
Olr469,0,0,0,0,0,0,0,0
Olr470,0,0,0,0,0,0,0,0
Olr471,0,0,0,0,0,0,0,0
Olr472,0,0,0,1,0,0,0,0
Olr473,0,0,0,0,0,0,0,0
Olr475,0,0,0,0,0,0,0,0
Olr476,0,0,0,0,0,0,0,0
Olr477,0,0,0,0,0,0,0,0
Olr479,0,0,0,0,0,0,0,0
Olr480,0,0,0,0,0,0,0,0
Olr481,0,0,0,0,0,0,0,0
Olr482,0,0,0,0,0,0,0,0
Olr483,0,0,0,0,0,0,0,0
Olr484,0,0,0,0,0,0,0,0
Olr485,0,0,0,0,0,0,0,0
Olr486,0,0,0,0,0,0,0,0
Olr488,0,0,0,0,0,0,0,0
Olr490,0,0,0,0,0,0,0,0
Olr491,0,0,0,0,0,0,0,0
Olr493,0,0,0,0,0,0,0,0
Olr495,0,0,0,0,0,0,0,0
Olr496,0,0,0,0,0,0,0,0
Olr499,0,0,0,0,0,0,0,0
Olr500,0,0,0,0,0,0,0,0
Olr502,0,0,0,0,0,0,0,0
Olr505,0,0,0,0,0,0,0,0
Olr507,0,0,0,0,0,0,0,0
Olr508,0,0,0,0,0,0,0,0
Olr510,0,0,0,0,0,0,0,0
Olr513,0,0,0,0,0,0,0,0
Olr514,0,0,0,0,0,0,0,0
Olr515,0,0,0,0,0,0,0,0
Olr516,0,0,0,0,0,0,0,0
Olr517,0,0,0,0,0,0,0,0
Olr522,0,0,0,0,0,0,0,0
Olr520,0,0,0,0,0,0,0,0
Olr519,0,0,0,0,0,0,0,0
Olr518,0,0,0,0,0,0,0,0
Olr526,0,0,0,0,0,0,0,0
Olr527,0,0,0,0,0,0,0,0
Olr528,0,0,0,0,0,0,0,0
Olr529,0,0,0,0,0,0,0,0
Olr530,0,0,0,0,0,0,0,0
Olr531,0,0,0,0,0,0,0,0
Olr532,0,0,0,0,0,0,0,0
Olr533,0,0,0,0,0,0,0,0
Olr535,0,0,0,0,0,0,0,0
Olr536,0,0,0,0,0,0,0,0
Olr537,0,0,0,0,0,0,0,0
Olr539,0,0,0,0,0,0,0,0
Olr540,0,0,0,0,0,0,0,0
Olr541,0,0,0,0,0,0,0,0
Olr544,0,0,0,0,0,0,0,0
Olr545,0,0,0,0,0,0,0,0
Olr550,0,0,0,0,0,0,0,0
Olr551,0,0,0,0,0,0,0,0
Olr542,0,0,0,0,0,0,0,0
Olr546,0,0,0,0,0,0,0,0
Olr552,0,0,0,0,0,0,0,0
Olr554,0,0,0,0,0,0,0,0
Olr555,0,0,0,0,0,0,0,0
Olr556,0,0,0,0,0,0,0,0
Olr557,0,0,0,0,0,0,0,0
Olr558,0,0,0,0,0,0,0,0
Olr559,0,0,0,0,0,0,0,0
Olr560,0,0,0,0,0,0,0,0
Olr561,0,0,0,0,0,0,0,0
Olr562,0,0,0,0,0,0,0,0
Olr563,0,0,0,0,0,0,0,0
Olr566,0,0,0,0,0,0,0,0
Pramel6,0,1,0,0,0,0,0,0
Olr567,0,0,0,0,0,0,0,0
Olr569,0,0,0,0,0,0,0,0
Olr575,0,0,0,0,0,0,0,0
Olr576,0,0,0,0,0,0,0,0
Olr577,0,0,0,0,0,0,0,0
Olr578,0,0,0,0,0,0,0,0
Olr597,0,0,0,0,0,0,0,0
Olr598,0,0,0,0,0,0,0,0
Olr581,0,0,0,0,0,0,0,0
Olr582,0,0,0,0,0,0,0,0
Olr583,0,0,0,0,0,0,0,0
Olr584,0,0,0,0,0,0,0,0
Olr586,0,0,0,0,0,0,0,0
Olr587,0,0,0,0,0,0,0,0
Olr588,0,0,0,0,0,0,0,0
Olr590,0,0,0,0,0,0,0,0
Olr592,0,0,0,0,0,0,0,0
Olr594,0,0,0,0,0,0,0,0
Olr595,0,0,0,0,0,0,0,0
Olr596,0,0,0,0,0,0,0,0
Olr601,0,0,0,0,0,0,0,0
Olr602,0,0,0,0,0,0,0,0
Olr604,0,0,0,0,0,0,0,0
Olr606,0,0,0,0,0,0,0,0
Olr607,0,0,0,0,0,0,0,0
Olr608,0,0,0,0,0,0,0,0
Olr609,0,0,0,0,0,0,0,0
Olr610,0,0,0,0,0,0,0,0
Olr613,0,0,0,0,0,0,0,0
Olr614,0,1,0,0,0,0,0,0
Olr619,0,0,0,0,0,0,0,0
Olr611,0,0,0,0,0,0,0,0
Olr623,0,0,0,0,0,0,0,0
Olr621,0,0,0,0,0,0,0,0
Olr624,0,0,0,0,0,0,0,0
Olr625,0,0,0,0,0,0,0,0
Olr629,0,0,0,0,0,0,0,0
Olr630,0,0,0,0,0,0,0,0
Olr631,0,0,0,0,0,0,0,0
Olr633,0,0,0,0,0,0,0,0
Olr634,0,0,0,0,0,0,0,0
Olr635,0,0,0,0,0,0,0,0
Olr636,0,0,0,0,0,0,0,0
Olr639,0,0,0,0,0,0,0,0
Olr640,0,0,0,0,0,0,0,0
Olr641,0,0,0,0,0,0,0,0
Olr646,0,0,0,0,0,0,0,0
Olr648,0,0,0,0,0,0,0,0
Olr649,0,0,0,0,0,0,0,0
Olr650,0,0,0,0,0,0,0,0
Olr651,0,0,0,0,0,0,0,0
Olr658,0,0,0,0,0,0,0,0
Olr655,0,0,0,0,0,0,0,0
Olr653,0,0,0,0,0,0,0,0
Olr654,0,0,0,0,0,0,0,0
Olr652,0,0,0,0,0,0,0,0
Olr637,0,0,0,0,0,0,0,0
Olr665,0,0,0,0,0,0,0,0
Olr664,0,0,0,0,0,0,0,0
Olr663,0,0,0,0,0,0,0,0
Olr662,0,0,0,0,0,0,0,0
Olr661,0,0,0,0,0,0,0,0
Olr660,0,0,0,0,0,0,0,0
Olr659,0,0,0,0,0,0,0,0
Olr657,0,0,0,0,0,0,0,0
Olr666,0,0,0,0,0,0,0,0
Olr668,0,0,0,0,0,0,0,0
Olr669,0,0,0,0,0,0,0,0
Olr670,0,0,0,0,0,0,0,0
Olr671,0,0,0,0,0,0,0,0
Olr672,0,0,0,0,0,0,0,0
Olr674,0,0,0,0,0,0,0,0
Olr675,0,0,0,0,0,0,0,0
Olr677,0,0,0,0,0,0,0,0
Olr678,0,0,0,0,0,0,0,0
Olr679,0,0,0,0,0,0,0,0
Olr681,0,0,0,0,0,0,0,0
Olr684,0,0,0,0,0,0,0,0
Olr686,0,0,0,0,0,0,0,0
Olr687,0,0,0,0,0,0,0,0
Olr689,0,0,0,0,0,0,0,0
Olr690,0,0,0,0,0,0,0,0
Olr691,0,0,0,0,0,0,0,0
Olr693,0,0,0,0,0,0,0,0
Olr694,0,0,0,0,0,0,0,0
Olr696,0,0,0,0,0,0,0,0
Olr697,0,0,0,0,0,0,0,0
Olr698,0,0,0,0,0,0,0,0
Olr703,0,0,0,0,0,0,0,0
Olr701,0,0,0,0,0,0,0,0
Olr695,0,0,0,0,0,0,0,0
Olr713,0,0,0,0,0,0,0,0
Olr714,0,0,0,0,0,0,0,0
Olr704,0,0,0,0,0,0,0,0
Olr705,0,0,0,0,0,0,0,0
Olr707,0,0,0,0,0,0,0,0
Olr709,0,0,0,0,0,0,0,0
Olr710,0,0,0,0,0,0,0,0
Olr711,0,0,0,0,0,0,0,0
Olr712,0,0,0,0,0,0,0,0
Olr715,0,0,0,0,0,0,0,0
Olr716,0,0,0,0,0,0,0,0
Olr717,0,0,0,0,0,0,0,0
Olr718,0,0,0,0,0,0,0,0
Olr720,0,0,0,0,0,0,0,0
Olr721,0,0,0,0,0,0,0,0
Olr722,0,0,0,0,0,0,0,0
Olr724,0,0,0,0,0,0,0,0
Olr725,0,0,0,0,0,0,0,0
Olr727,0,0,0,0,0,0,0,0
Olr728,0,0,0,0,0,0,0,0
Olr726,0,0,0,0,0,0,0,0
Olr729,0,0,0,0,0,0,0,0
Olr731,0,0,0,0,0,0,0,0
Olr733,0,0,0,0,0,0,0,0
Olr734,0,0,0,0,0,0,0,0
Olr735,0,0,0,0,0,0,0,0
Olr736,0,0,0,0,0,0,0,0
Olr737,0,0,1,0,0,0,0,0
Olr741,0,0,0,0,0,0,0,0
Olr742,0,0,0,0,0,0,0,0
Olr744,0,0,0,0,0,0,0,0
Olr745,0,0,0,0,0,0,0,0
Ptprj,166,94,61,46,65,70,50,63
Nup160,403,274,217,140,287,184,291,211
Fnbp4,1965,1008,1016,519,1261,636,1077,843
Mtch2,14337,8962,8599,4320,10355,6063,9841,7323
C1qtnf4,9,4,1,5,3,0,5,7
Ndufs3,14652,9123,9185,4808,10890,6034,10197,7895
Kbtbd4,473,294,293,165,292,142,304,234
Ptpmt1,1316,616,677,454,833,439,833,630
Celf1,863,435,402,263,547,193,389,383
Rapsn,636,471,337,231,486,186,382,349
Psmc3,5602,3583,2982,1789,3391,1792,3302,2701
Slc39a13,600,324,276,210,329,139,232,282
Spi1,60,20,20,8,31,11,8,16
Mybpc3,1,3,2,1,0,0,0,1
Madd,127,55,73,28,90,30,64,64
Nr1h3,660,326,274,157,287,158,224,207
Acp2,597,365,306,162,347,212,373,226
Ddb2,151,111,97,39,101,71,104,87
Pacsin3,8549,6261,3538,2330,4480,1684,3024,3578
Arfgap2,2988,2142,1649,964,1818,832,1416,1414
RGD1309540,754,526,398,273,400,244,531,286
Lrp4,357,228,148,116,169,85,240,128
F2,74,62,46,31,63,34,47,38
Arhgap1,845,476,515,243,764,307,485,445
Atg13,817,534,450,231,535,224,369,355
Harbi1,412,273,321,132,525,231,274,214
Ambra1,516,330,260,134,337,140,258,197
Chrm4,0,0,0,1,3,0,0,0
Mdk,9,2,8,5,7,3,10,11
Dgkz,1625,1106,813,602,775,375,1124,821
Creb3l1,67,51,35,31,23,44,44,39
Gyltl1b,22,9,7,3,3,5,5,6
Pex16,745,394,414,221,451,216,397,328
RGD1563263,0,0,0,0,0,1,0,1
Mapk8ip1,398,167,203,76,253,94,125,141
Cry2,578,332,213,165,288,125,163,226
Slc35c1,313,159,161,90,184,97,140,133
Chst1,66,20,21,19,28,11,10,10
Syt13,6,3,6,2,2,0,1,0
Prdm11,4,3,0,0,2,2,1,0
Tp53i11,344,131,122,72,170,59,105,76
Tspan18,146,78,64,58,73,47,83,61
Cd82,726,384,303,334,285,198,344,287
Alx4,3,0,0,0,3,0,2,1
Ext2,445,265,222,120,285,161,228,179
Accs,143,80,95,53,129,37,63,78
Accsl,5,9,6,1,6,1,1,1
RGD1564664,19,13,7,5,10,7,17,9
Alkbh3,4871,2874,2812,1418,3299,1726,2952,2184
Hsd17b12,902,497,534,328,649,393,664,450
Mir129-2,0,0,0,0,0,0,0,0
Ttc17,869,524,406,236,493,237,454,365
Api5,4650,2827,2547,1465,3039,1615,2620,2203
Lrrc4c,64,32,33,14,43,20,28,26
LOC499843,0,0,0,0,0,0,0,0
RGD1309730,1263,781,742,395,965,422,1075,737
Rag2,2,2,0,0,8,1,2,1
Rag1,0,1,0,2,0,0,1,0
Traf6,415,233,194,152,293,221,227,181
Prr5l,37,20,12,12,15,6,6,18
Commd9,1559,1035,929,469,1035,489,1134,869
Trim44,31,22,15,9,21,8,25,9
Fjx1,5,1,2,1,2,2,5,0
Pamr1,15,3,14,10,3,1,11,1
Slc1a2,0,0,2,0,0,2,2,0
Cd44,636,330,218,132,255,169,272,249
Pdhx,6118,3601,3218,1289,3622,1746,2926,2422
Apip,474,363,313,161,315,244,404,292
Ehf,10,1,3,1,5,0,4,2
Elf5,1,0,0,0,0,2,1,3
Cat,22753,14558,12690,7411,16632,9477,14087,11871
Abtb2,130,94,82,54,90,39,79,63
Nat10,299,163,141,74,147,64,118,104
Caprin1,3280,1744,1659,969,1940,927,1678,1589
Lmo2,198,87,98,65,95,76,121,95
Fbxo3,5721,3784,3545,1968,4100,2326,3681,3161
Cd59,14545,9943,9895,6005,10768,6167,11978,8279
RGD1563222,10,1,1,3,5,6,1,8
Hipk3,1899,1262,955,485,1260,512,1156,947
Cstf3,218,136,120,75,184,84,162,130
Tcp11l1,57,54,26,32,53,45,34,37
Depdc7,83,67,37,29,74,22,60,30
Qser1,686,494,426,218,556,314,554,352
Prrg4,50,74,38,35,68,32,46,23
Eif3m,6231,4054,3591,2149,4163,2529,4688,3323
Wt1,356,158,179,111,98,131,290,67
LOC691083,47,48,43,26,57,33,38,28
Rcn1,301,194,160,88,246,124,207,158
Pax6,0,2,0,0,1,0,0,0
RGD1566052,366,217,217,147,236,135,226,187
Dnajc24,275,170,158,70,146,101,193,146
Dcdc5,1,1,3,3,2,0,2,0
Mpped2,66,20,40,26,65,35,54,29
Arl14ep,523,378,330,206,394,254,379,292
Fshb,0,1,0,0,0,0,0,0
Kcna4,0,1,0,0,0,0,0,0
RGD1304978,242,162,121,105,189,92,212,120
Kif18a,35,8,11,9,11,17,18,19
Bdnf,397,217,230,128,702,255,127,190
Lin7c,390,248,200,106,297,131,218,216
Lgr4,543,303,289,151,302,212,332,208
Ccdc34,122,85,76,43,102,47,77,71
Bbox1,2,2,3,0,1,0,2,0
Fibin,418,280,210,149,173,98,211,166
Slc5a12,15,6,4,0,12,7,3,5
Muc15,2,0,3,0,0,3,0,1
Olr747,0,0,0,0,0,0,0,0
Olr748,0,0,0,0,0,0,0,0
Olr749,0,0,0,0,0,0,0,0
Olr750,0,0,0,0,0,0,0,0
Olr752,0,0,0,0,0,0,0,0
Olr753,0,0,0,0,0,0,0,0
Olr754,0,0,0,0,0,0,0,0
Olr756,0,0,0,0,0,0,0,0
Olr757,0,0,0,0,0,0,0,0
Olr758,0,0,0,0,0,0,0,0
Olr760,0,0,0,0,0,0,0,0
Olr766,0,0,0,0,0,0,0,0
Olr767,0,0,0,0,0,0,0,0
Olr768,0,0,0,0,0,0,0,0
Olr769,0,0,0,0,0,0,0,0
Olr770,0,0,0,0,0,0,0,0
Olr771,0,0,0,0,0,0,0,0
Olr772,0,0,1,0,0,0,0,0
Olr773,0,0,0,0,0,0,0,0
Olr774,0,0,0,0,0,0,0,0
Olr775,0,0,0,0,0,0,0,0
Olr776,0,0,0,0,0,0,0,0
Olr777,0,0,0,0,0,0,0,0
Olr778,0,0,0,0,0,0,0,0
Olr779,0,0,0,0,0,0,0,0
Olr780,0,0,0,0,0,0,0,0
Olr781,0,0,0,0,0,0,0,0
Olr782,0,0,0,0,0,0,0,0
Olr783,0,0,0,0,0,0,0,0
Olr784,0,0,0,0,0,0,0,0
Olr785,0,0,0,0,0,0,0,0
Olr786,0,0,0,0,0,0,0,0
Olr788,0,0,0,0,0,0,0,0
Olr789,0,0,0,0,0,0,0,0
Olr790,0,0,0,0,0,0,0,0
Olr791,0,0,0,0,0,0,0,0
Olr792,0,0,0,0,0,0,0,0
Olr795,2,0,0,0,0,0,0,0
Olr796,0,0,0,0,0,0,3,0
Lpcat4,172,175,61,41,166,34,69,68
Nut,0,1,0,0,0,0,0,2
Nop10,341,203,190,120,242,133,233,176
Slc12a6,452,231,214,101,284,110,218,130
Emc4,1541,841,859,457,1015,551,965,737
Katnbl1,180,114,122,66,132,62,125,89
RGD1305045,3416,2218,1867,1044,2172,1287,2391,1640
Chrm5,14,7,6,7,6,2,7,11
Aven,197,131,121,37,126,71,141,80
Grem1,0,1,0,0,0,6,1,1
Scg5,73,38,48,62,7,25,58,13
Arhgap11a,147,65,61,33,63,28,62,52
Gjd2,0,0,0,0,0,0,0,0
Actc1,1033,4264,1863,274,7447,1012,672,1617
Aqr,706,522,380,197,407,240,394,320
Atpbd4,590,464,301,227,454,233,499,298
Meis2,457,240,215,131,364,160,381,230
Spred1,26,4,13,2,16,5,9,11
Mir674,0,0,0,0,1,0,0,0
Rasgrp1,18,8,11,7,10,5,10,9
Thbs1,59,26,42,14,17,18,29,26
Fsip1,7,1,0,0,1,2,4,0
Gpr176,37,27,11,10,34,21,37,19
Eif2ak4,202,87,106,48,112,62,82,71
Srp14,3651,2237,2120,1209,2418,1412,2819,1997
Bmf,43,21,12,11,29,14,5,13
Pak6,11,5,2,2,2,4,6,1
Plcb2,18,7,5,4,7,4,9,7
Disp2,40,22,29,22,32,22,29,19
Knstrn,16,9,6,1,4,2,2,3
Ivd,15358,10018,9342,5569,9683,5622,9928,8618
Chst14,72,41,38,20,37,31,52,31
Ccdc32,1315,816,613,376,836,384,597,516
Rpusd2,0,0,0,0,0,0,0,0
Casc5,10,3,6,3,0,4,4,3
Rad51,18,14,9,7,13,7,14,16
Rmdn3,565,277,254,146,384,141,322,213
Gchfr,103,68,73,34,72,46,70,46
Dnajc17,173,125,102,57,109,71,112,105
Zfyve19,227,148,159,82,137,78,164,118
Ppp1r14d,15,2,2,4,5,6,11,5
Spint1,10,14,6,2,3,5,3,6
Rhov,4,1,0,0,0,1,1,0
Vps18,332,227,192,97,228,82,166,174
Dll4,355,157,135,62,193,70,120,96
Chac1,284,50,91,54,117,27,147,39
Ino80,630,453,324,220,443,223,297,266
Exd1,18,4,4,2,3,2,3,1
Chp,1051,596,555,318,730,396,579,450
Nusap1,39,13,7,9,19,15,8,16
Ndufaf1,1483,572,532,294,646,401,890,474
Rtf1,1446,826,681,414,749,397,835,661
Itpka,0,1,1,0,0,0,0,0
Ltk,1,0,0,0,1,0,0,0
Rpap1,437,271,194,138,244,140,203,230
Tyro3,13,13,4,6,7,4,5,5
Mapkbp1,45,24,34,16,26,8,29,28
Jmjd7,94,43,58,24,71,28,48,36
Pla2g4b,232,107,110,44,131,41,79,64
Ehd4,2067,1088,927,395,1235,542,647,599
Vps39,890,514,478,287,562,270,458,319
Ganc,1437,1041,836,465,1044,470,818,711
Capn3,4422,3367,2540,1698,3119,1453,2760,2071
Snap23,2824,1872,1753,955,1868,1018,1937,1297
Lrrc57,1293,820,818,420,915,582,975,617
Ttbk2,103,46,36,23,62,19,37,38
Ubr1,855,552,374,257,554,283,490,405
Ccndbp1,1997,1348,1319,661,1199,722,1233,1017
Epb42,6,4,3,1,3,6,7,10
Lcmt2,170,98,79,51,112,57,94,66
LOC311352,418,232,261,120,240,109,259,166
Map1a,569,1115,374,203,646,187,155,462
Ppip5k1,1222,893,355,172,537,326,546,631
